EventSID,DateSID,LocationSID,EventDesc,PackedLunchCount,EffectToMealCount
372,20190820,1,anonymized,,
373,20190821,1,anonymized,,
374,20190822,1,anonymized,,
375,20190823,1,anonymized,,
376,20190902,1,anonymized,,
377,20190903,1,anonymized,,
378,20190904,1,anonymized,,
379,20190906,1,anonymized,,
380,20190911,1,anonymized,,
381,20190912,1,anonymized,,
382,20190914,1,anonymized,,
383,20190925,1,anonymized,,
384,20190926,1,anonymized,,
385,20191001,1,anonymized,,
386,20191002,1,anonymized,,
387,20191027,1,anonymized,,
388,20191031,1,anonymized,,
389,20191105,1,anonymized,,TRUE
390,20191106,1,anonymized,,
391,20191108,1,anonymized,,
392,20191111,1,anonymized,,TRUE
393,20191112,1,anonymized,,TRUE
394,20191113,1,anonymized,,TRUE
395,20191114,1,anonymized,,TRUE
396,20191115,1,anonymized,,TRUE
397,20191125,1,anonymized,,TRUE
398,20191126,1,anonymized,,TRUE
399,20191127,1,anonymized,,TRUE
400,20191127,1,anonymized,,
401,20191128,1,anonymized,,TRUE
402,20191129,1,anonymized,,TRUE
403,20191129,1,anonymized,,
404,20191205,1,anonymized,,
405,20191205,1,anonymized,,
406,20191205,1,anonymized,,
407,20191209,1,anonymized,,
408,20191210,1,anonymized,,
409,20191212,1,anonymized,,
410,20191212,1,anonymized,,
411,20191216,1,anonymized,,
412,20191217,1,anonymized,,
413,20191217,1,anonymized,,
414,20191217,1,anonymized,,
415,20191217,1,anonymized,,
416,20191220,1,anonymized,,
417,20191220,1,anonymized,,
418,20191220,1,anonymized,,
419,20191220,1,anonymized,,
420,20200107,1,anonymized,,
421,20200113,1,anonymized,,
422,20200114,1,anonymized,,
423,20200116,1,anonymized,,
424,20200121,1,anonymized,,TRUE
425,20200121,1,anonymized,,
426,20200122,1,anonymized,,
427,20200123,1,anonymized,,
428,20200123,1,anonymized,,
429,20200128,1,anonymized,,
430,20200205,1,anonymized,,
431,20200206,1,anonymized,,
432,20200206,1,anonymized,,
433,20200213,1,anonymized,,
434,20200214,1,anonymized,,
435,20200214,1,anonymized,,TRUE
436,20200214,1,anonymized,,
437,20200217,1,anonymized,,
438,20200217,1,anonymized,,
439,20200218,1,anonymized,,
440,20200218,1,anonymized,,
441,20200219,1,anonymized,,
442,20200219,1,anonymized,,
443,20200220,1,anonymized,,
444,20200220,1,anonymized,,
445,20200221,1,anonymized,,
446,20200221,1,anonymized,,
447,20200221,1,anonymized,,
448,20200303,1,anonymized,,TRUE
449,20200313,1,anonymized,,
450,20200316,1,anonymized,,
451,20200318,1,anonymized,,
452,20200319,1,anonymized,,
453,20200320,1,anonymized,,
454,20200323,1,anonymized,,
455,20200324,1,anonymized,,
456,20200325,1,anonymized,,
457,20200326,1,anonymized,,
458,20200327,1,anonymized,,
459,20200330,1,anonymized,,
460,20200331,1,anonymized,,
461,20200401,1,anonymized,,
462,20200402,1,anonymized,,
463,20200403,1,anonymized,,
464,20200406,1,anonymized,,
465,20200407,1,anonymized,,
466,20200408,1,anonymized,,
467,20200409,1,anonymized,,
468,20200414,1,anonymized,,
469,20200415,1,anonymized,,
470,20200416,1,anonymized,,
471,20200417,1,anonymized,,
472,20200420,1,anonymized,,
473,20200421,1,anonymized,,
474,20200422,1,anonymized,,
475,20200423,1,anonymized,,
476,20200424,1,anonymized,,
477,20200427,1,anonymized,,
478,20200428,1,anonymized,,
479,20200429,1,anonymized,,
480,20200430,1,anonymized,,
481,20200504,1,anonymized,,
482,20200505,1,anonymized,,
483,20200506,1,anonymized,,
484,20200507,1,anonymized,,
485,20200508,1,anonymized,,
486,20200511,1,anonymized,,
487,20200512,1,anonymized,,
488,20200513,1,anonymized,,
489,20200514,1,anonymized,,
490,20200529,1,anonymized,,
491,20200530,1,anonymized,,
492,20161005,1,anonymized,2,TRUE
493,20161013,1,anonymized,20,TRUE
494,20161025,1,anonymized,23,TRUE
495,20161027,1,anonymized,23,TRUE
496,20161101,1,anonymized,26,TRUE
497,20161103,1,anonymized,26,TRUE
498,20170117,1,anonymized,20,TRUE
